Unit Price,Unit Cost,Sold Quantity,Sales,COGS,Marketing,Total Expenses,Pre-Sales Inventory,Profit,Margin,Expected Sales,Expected COGS,Expected Profit,Expected Margin,ReportId
4.5,2.69,1087.0,4891.5,2924.03,369.58,3293.61,1777.0,1597.8900000000003,24.49,6773.97,3655.72,3118.25,46.03,HH6454G
4.5,2.69,757.0,3406.5,2036.33,257.38,2293.71,1175.0,1112.79,24.91,3818.91,2182.19,1636.72,42.86,JQ289C1
4.5,2.69,1132.0,5094.0,3045.08,384.88,3429.96,2037.0,1664.04,23.67,7054.4,3625.78,3428.62,,QZ926ZI
4.5,2.69,649.0,2920.5,1745.81,220.66,1966.47,1014.0,954.03,24.85,4429.62,2286.61,2143.01,48.38,GS932CD
4.5,2.69,733.0,3298.5,1971.77,249.22,2220.99,1375.0,1077.5100000000002,23.29,4567.91,2465.18,2102.73,46.03,HF714CB
4.5,2.69,499.0,2245.5,1342.31,169.66,1511.97,689.0,733.53,25.76,2517.35,,1078.89,42.86,LI886EI
4.5,2.69,514.0,2313.0,1382.66,174.76,1557.42,988.0,755.5799999999999,23.06,3203.15,1646.33,1556.82,48.6,GE230DW
4.5,2.69,388.0,1746.0,1043.72,131.92,,683.0,570.3599999999999,23.87,2648.22,1367.03,1281.19,48.38,DQ657HK
4.5,2.69,1179.0,5305.5,3171.51,400.86,3572.37,1806.0,1733.13,25.01,7347.3,3965.13,3382.17,46.03,UP8290P
4.5,2.69,829.0,3730.5,2230.01,281.86,2511.87,1550.0,1218.63,23.32,4182.13,2389.75,1792.38,42.86,KP8179D
4.5,2.69,817.0,3676.5,2197.73,277.78,2475.51,,1200.9899999999998,23.71,5091.38,2616.84,2474.54,,NO592D4
4.5,2.69,637.0,2866.5,1713.53,216.58,1930.11,1145.0,936.39,23.68,4347.72,2244.33,2103.39,48.38,HW899BC
4.5,2.69,928.0,4176.0,2496.32,315.52,2811.84,1293.0,1364.16,25.7,5783.11,3120.99,2662.12,46.03,UL920GM
4.5,2.69,1119.0,5035.5,3010.11,380.46,3390.57,,1644.9299999999998,23.83,5645.12,3225.72,2419.4,42.86,FD4642O
4.5,2.69,736.0,3312.0,1979.84,250.24,2230.08,1329.0,1081.92,23.64,4586.61,2357.4,2229.21,48.6,TR09988
4.5,2.69,861.0,3874.5,2316.09,292.74,2608.83,1228.0,1265.67,25.54,5876.59,3033.55,2843.04,48.38,UI422L0
4.5,2.69,597.0,2686.5,1605.93,202.98,1808.91,1086.0,877.5899999999999,23.57,3720.39,2007.79,1712.6,46.03,GB100GH
4.5,2.69,943.0,,2536.67,320.62,2857.29,1766.0,1386.21,23.3,4757.24,2718.37,2038.87,42.86,YH365IL
4.5,2.69,904.0,4068.0,2431.76,307.36,2739.12,1757.0,1328.88,22.95,5633.55,2895.5,2738.05,48.6,FC357NY
4.5,2.69,522.0,2349.0,1404.18,177.48,1581.66,976.0,767.3399999999999,23.32,3562.81,1839.15,1723.66,48.38,QY005QB
4.5,2.69,643.0,2893.5,1729.67,218.62,1948.29,1165.0,945.21,,4007.05,2162.49,1844.56,46.03,MS38386
4.5,2.69,838.0,3771.0,2254.22,284.92,2539.14,1376.0,1231.86,24.46,4227.54,2415.69,1811.85,42.86,XE2477B
4.5,2.69,1132.0,5094.0,3045.08,384.88,3429.96,1736.0,1664.04,,7054.4,3625.78,3428.62,48.6,UF667WP
4.5,2.69,994.0,4473.0,2673.86,337.96,3011.82,,1461.1799999999998,25.85,6784.36,3502.14,3282.22,48.38,WI948VO
4.5,2.69,889.0,4000.5,2391.41,302.26,2693.67,1503.0,1306.83,24.21,5540.07,2989.82,2550.25,,EE789S6
,2.69,664.0,2988.0,1786.16,225.76,2011.92,1102.0,976.0800000000002,24.37,3349.74,1914.1,1435.64,42.86,IL488SR
4.5,2.69,474.0,2133.0,1275.06,161.16,1436.22,864.0,696.78,23.55,2953.87,1518.21,1435.66,48.6,DN393I9
4.5,2.69,376.0,1692.0,1011.44,127.84,1139.28,649.0,552.72,24.04,2566.32,1324.75,1241.57,48.38,FA250S6
4.5,2.69,793.0,3568.5,2133.17,269.62,2402.79,1460.0,1165.71,23.46,4941.82,2666.96,2274.86,46.03,EY3448E
4.5,2.69,349.0,1570.5,938.81,118.66,1057.47,654.0,513.03,23.3,1760.63,1006.06,754.57,42.86,JM900HV
4.5,2.69,1066.0,4797.0,2867.54,362.44,3229.98,2018.0,1567.02,23.2,6643.1,3414.38,3228.72,48.6,VX5076Q
,2.69,787.0,,2117.03,267.58,2384.61,1453.0,1156.8900000000003,23.44,,2772.82,2598.7,48.38,BM046VU
4.5,2.69,985.0,4432.5,2649.65,334.9,2984.55,1490.0,1447.9499999999998,25.1,6138.33,3312.69,2825.64,46.03,KG7847V
4.5,2.69,444.0,,1194.36,150.96,1345.32,655.0,652.6800000000001,25.29,2239.89,1279.91,959.98,42.86,DI036HK
4.5,2.69,1074.0,4833.0,2889.06,365.16,3254.22,1818.0,1578.7800000000002,24.2,6692.96,3440.0,3252.96,48.6,LE635PL
4.5,2.69,342.0,1539.0,919.98,116.28,1036.26,513.0,502.74,25.17,2334.26,1204.96,1129.3,,UY52982
4.5,2.69,579.0,2605.5,1557.51,196.86,1754.37,1037.0,851.1300000000001,23.71,,1947.25,1660.96,46.03,GQ097PY
4.5,2.69,774.0,3483.0,2082.06,,2345.22,1170.0,1137.7800000000002,25.11,3904.67,2231.2,1673.47,42.86,OL7861D
4.5,2.69,,,,178.84,1593.78,,773.22,24.94,3277.93,1684.77,1593.16,48.6,VO3279U
4.5,2.69,996.0,4482.0,2679.24,338.64,3017.88,1368.0,1464.1200000000003,25.8,6798.01,3509.19,3288.82,48.38,MR614HB
4.5,2.69,472.0,2124.0,1269.68,,1430.16,884.0,693.8399999999999,23.3,2941.41,1587.4,1354.01,46.03,VQ23027
4.5,2.69,949.0,4270.5,2552.81,322.66,,1414.0,1395.0300000000002,,4787.51,2735.67,2051.84,42.86,HS026FA
,,1144.0,,3077.36,388.96,3466.32,1545.0,1681.6799999999998,25.91,7129.18,3664.21,3464.97,48.6,UN875CG
4.5,2.69,408.0,1836.0,1097.52,138.72,1236.24,772.0,599.76,23.21,2784.73,1437.5,1347.23,48.38,AJ253E0
4.5,2.69,906.0,4077.0,2437.14,308.04,2745.18,1568.0,1331.8200000000002,24.01,5646.01,3047.0,2599.01,46.03,ZQ741DH
4.5,2.69,705.0,,1896.45,239.7,2136.15,1140.0,1036.35,24.58,3556.58,2032.29,1524.29,,IZ082G1
4.5,2.69,354.0,1593.0,952.26,120.36,1072.62,628.0,520.3800000000001,23.8,2206.06,1133.86,1072.2,,WJ771YY
4.5,2.69,568.0,2556.0,1527.92,193.12,1721.04,779.0,834.96,25.81,3876.77,2001.22,1875.55,48.38,KP6689X
4.5,,706.0,3177.0,1899.14,240.04,,1080.0,1037.8200000000002,25.02,4399.65,2374.37,2025.28,46.03,AK733KF
4.5,2.69,576.0,2592.0,1549.44,195.84,1745.28,845.0,846.72,25.33,2905.8,1660.43,1245.37,42.86,HM021W8
4.5,2.69,1104.0,4968.0,2969.76,375.36,3345.12,1865.0,1622.88,24.22,6879.91,3536.09,3343.82,48.6,JO902ZQ
4.5,2.69,981.0,4414.5,2638.89,333.54,2972.43,1709.0,1442.0700000000002,23.96,6695.63,3456.34,,,WU456JW
4.5,2.69,792.0,3564.0,2130.48,269.28,2399.76,1332.0,1164.2399999999998,24.26,4935.59,2663.6,2271.99,46.03,YV535PR
4.5,2.69,1029.0,4630.5,2768.01,349.86,,,1512.63,23.75,5191.09,2966.28,2224.81,42.86,IA936B9
4.5,2.69,427.0,1921.5,1148.63,145.18,1293.81,705.0,627.69,24.41,2660.98,1367.67,1293.31,48.6,RY6334F
4.5,2.69,963.0,4333.5,2590.47,327.42,2917.89,1802.0,1415.61,23.31,6572.77,3392.92,3179.85,48.38,GC417AJ
4.5,2.69,1039.0,4675.5,2794.91,353.26,3148.17,1863.0,1527.33,23.7,6474.84,3494.29,2980.55,46.03,TV073W4
4.5,2.69,372.0,1674.0,,126.48,1127.16,716.0,546.8400000000001,23.04,1876.66,1072.36,804.3,,YA44083
4.5,2.69,1072.0,4824.0,2883.68,364.48,3248.16,2031.0,1575.84,23.19,6680.49,3433.6,3246.89,48.6,OO223RM
4.5,2.69,469.0,2110.5,1261.61,159.46,1421.07,879.0,689.4300000000001,23.3,3201.07,1652.42,1548.65,48.38,UU1053H
4.5,2.69,591.0,2659.5,1589.79,200.94,1790.73,,868.77,23.46,3683.0,1987.61,1695.39,46.03,IY602ES
4.5,2.69,1135.0,5107.5,3053.15,385.9,3439.05,2193.0,1668.4499999999998,23.01,5725.84,3271.85,,42.86,FV960O7
4.5,2.69,,5188.5,3101.57,392.02,3493.59,1719.0,1694.91,25.21,7185.27,3693.04,3492.23,48.6,JY380TG
4.5,2.69,,3973.5,2375.27,300.22,2675.49,1394.0,1298.0100000000002,24.77,6026.75,3111.06,2915.69,48.38,IF223IO
,2.69,1189.0,5350.5,3198.41,404.26,3602.67,1874.0,1747.83,24.79,7409.61,3998.76,3410.85,46.03,DL7055Y
4.5,2.69,832.0,3744.0,2238.08,282.88,2520.96,1268.0,1223.04,,4197.27,2398.39,,42.86,LO227QK
4.5,2.69,1008.0,4536.0,2711.52,342.72,3054.24,1943.0,1481.7600000000002,23.03,6281.66,3228.61,3053.05,48.6,IW993N1
4.5,2.69,852.0,,2291.88,289.68,,1376.0,1252.44,,5815.16,3001.84,2813.32,,PB36749
4.5,2.69,933.0,4198.5,2509.77,317.22,2826.99,1363.0,1371.5100000000002,25.36,5814.27,3137.8,2676.47,46.03,XJ433K0
4.5,2.69,463.0,2083.5,1245.47,157.42,,898.0,680.6099999999999,22.97,2335.74,1334.68,1001.06,42.86,RI661DP
4.5,2.69,505.0,2272.5,1358.45,171.7,1530.15,720.0,742.3499999999999,25.54,3147.06,1617.51,1529.55,48.6,MU30768
4.5,2.69,492.0,2214.0,1323.48,167.28,1490.76,765.0,723.24,,3358.05,1733.45,1624.6,48.38,FV154D5
4.5,2.69,325.0,1462.5,874.25,110.5,984.75,612.0,477.75,23.25,2025.34,1093.02,932.32,46.03,NW401P3
4.5,2.69,706.0,3177.0,1899.14,240.04,2139.18,1096.0,1037.8200000000002,24.9,3561.62,2035.18,1526.44,42.86,CU267ET
4.5,2.69,430.0,1935.0,1156.7,146.2,1302.9,587.0,632.0999999999999,,2679.68,1377.28,1302.4,48.6,TI4509K
4.5,2.69,946.0,4257.0,2544.74,321.64,2866.38,1344.0,1390.6200000000003,25.56,6456.74,,3123.72,48.38,VX876FS
4.5,2.69,1090.0,,2932.1,370.6,3302.7,1971.0,1602.3000000000002,23.63,6792.66,3665.81,3126.85,46.03,RP691EX
4.5,2.69,903.0,4063.5,2429.07,307.02,2736.09,1288.0,1327.41,25.53,4555.45,2603.06,1952.39,42.86,HM8177Q
4.5,2.69,1092.0,4914.0,,371.28,,1509.0,1605.2399999999998,25.76,6805.13,3497.66,3307.47,48.6,OR8222C
4.5,2.69,765.0,3442.5,2057.85,260.1,2317.95,1208.0,1124.5500000000002,24.77,5221.36,2695.31,2526.05,48.38,HT067SB
4.5,2.69,319.0,1435.5,858.11,108.46,966.57,496.0,468.93,24.89,1987.94,1072.84,915.1,46.03,NR576M1
4.5,2.69,1129.0,5080.5,3037.01,383.86,3420.87,,1659.63,24.6,5695.57,3254.55,2441.02,42.86,QW2099Q
4.5,2.69,687.0,3091.5,1848.03,233.58,2081.61,1202.0,1009.89,23.92,4281.25,2200.45,2080.8,48.6,QU608N6
4.5,2.69,570.0,2565.0,1533.3,193.8,1727.1,772.0,837.9000000000001,25.89,3890.43,2008.27,1882.16,48.38,OI450FG
4.5,2.69,508.0,,1366.52,172.72,1539.24,,746.76,23.65,,1708.47,1457.29,46.03,AX832ED
4.5,2.69,1072.0,4824.0,2883.68,364.48,3248.16,1995.0,1575.84,23.36,5408.02,3090.24,2317.78,42.86,JY399XC
4.5,2.69,934.0,4203.0,2512.46,317.56,,1290.0,1372.98,25.76,5820.5,2991.59,2828.91,48.6,HA536N1
4.5,2.69,496.0,2232.0,1334.24,168.64,1502.88,895.0,729.1199999999999,23.64,3385.35,1747.55,1637.8,48.38,TL028TX
4.5,2.69,583.0,2623.5,,198.22,,809.0,857.01,,3633.14,1960.71,1672.43,46.03,LJ061JP
4.5,2.69,840.0,3780.0,2259.6,285.6,2545.2,1434.0,1234.8000000000002,24.13,4237.63,2421.46,1816.17,42.86,SG5564F
,2.69,391.0,1759.5,1051.79,132.94,1184.73,601.0,574.77,24.98,2436.63,1252.37,1184.26,48.6,VT704DZ
4.5,2.69,658.0,,1770.02,223.72,1993.74,1096.0,967.26,24.34,4491.05,2318.32,2172.73,48.38,JB792V5
4.5,2.69,570.0,,1533.3,193.8,1727.1,,837.9000000000001,24.89,3552.13,1916.99,1635.14,46.03,LS3169H
4.5,2.69,1038.0,4671.0,2792.22,,3145.14,1465.0,1525.86,25.61,5236.49,2992.23,2244.26,42.86,DO059JF
4.5,2.69,907.0,4081.5,2439.83,308.38,,1464.0,1333.29,24.6,5652.24,2905.11,2747.13,,DJ011OF
,2.69,718.0,3231.0,,244.12,2175.54,1371.0,1055.46,,4900.57,2529.72,2370.85,48.38,ZT271BL
4.5,2.69,1096.0,4932.0,2948.24,372.64,3320.88,1707.0,1611.1200000000003,24.88,6830.06,3685.99,3144.07,46.03,ME597IN
4.5,2.69,834.0,3753.0,2243.46,283.56,2527.02,1467.0,1225.98,23.87,4207.36,2404.16,1803.2,42.86,BB846P7
4.5,2.69,682.0,3069.0,1834.58,231.88,2066.46,1233.0,1002.54,23.63,4250.09,2184.43,2065.66,48.6,FE4744T
4.5,2.69,730.0,3285.0,1963.7,248.2,2211.9,1302.0,1073.1,23.75,4982.47,2572.0,2410.47,48.38,WW947YZ
4.5,2.69,397.0,1786.5,1067.93,134.98,1202.91,774.0,583.5899999999999,22.92,2474.03,1335.16,1138.87,46.03,VY559QR
4.5,2.69,471.0,,1266.99,160.14,1427.13,623.0,692.3699999999999,26.05,2376.1,1357.74,1018.36,42.86,UL275XM
4.5,2.69,556.0,2502.0,,189.04,1684.6799999999998,885.0,817.3200000000002,24.71,3464.88,1780.86,1684.02,48.6,RH568JP
4.5,2.69,516.0,2322.0,1388.04,175.44,1563.48,693.0,,25.95,3521.86,1818.01,1703.85,48.38,HH394G9
4.5,2.69,586.0,2637.0,1576.34,199.24,1775.58,910.0,861.4200000000001,24.9,3651.84,1970.8,1681.04,46.03,CB721EP
4.5,2.69,537.0,2416.5,1444.53,182.58,1627.11,824.0,789.3900000000001,24.99,2709.05,1548.0,1161.05,42.86,YG371XB
4.5,2.69,783.0,3523.5,2106.27,266.22,2372.49,1092.0,1151.0100000000002,25.69,4879.5,2507.94,2371.56,48.6,DR498PM
4.5,2.69,793.0,3568.5,2133.17,269.62,2402.79,1436.0,1165.71,23.61,5412.47,2793.96,2618.51,48.38,VJ661VO
4.5,2.69,466.0,2097.0,1253.54,158.44,1411.98,695.0,685.02,25.21,2904.02,1567.22,1336.8,46.03,HE179MJ
4.5,2.69,517.0,2326.5,1390.73,175.78,1566.51,924.0,759.99,23.73,2608.16,1490.35,1117.81,42.86,MX061NL
4.5,2.69,916.0,,2464.04,311.44,2775.48,1342.0,1346.52,25.34,5708.33,2933.93,2774.4,48.6,VR803I9
4.5,2.69,945.0,4252.5,2542.05,321.3,2863.35,1736.0,1389.15,23.48,6449.92,3329.5,3120.42,48.38,UU7233U
4.5,2.69,568.0,2556.0,1527.92,193.12,1721.04,1093.0,834.96,23.05,3539.66,1910.26,1629.4,46.03,GS896MK
4.5,2.69,988.0,4446.0,2657.72,335.92,2993.64,1439.0,1452.36,25.38,4984.25,2848.09,2136.16,42.86,IC722DZ
4.5,2.69,1156.0,5202.0,3109.64,393.04,3502.68,1781.0,1699.3200000000002,24.96,7203.96,3702.65,3501.31,48.6,RA2205R
4.5,2.69,1159.0,5215.5,,394.06,3511.77,2104.0,1703.73,23.59,7910.53,4083.48,3827.05,48.38,AS477FA
4.5,2.69,1060.0,4770.0,2851.4,360.4,3211.8,1893.0,1558.1999999999998,23.74,6605.71,3564.92,3040.79,46.03,RT073FX
4.5,2.69,637.0,2866.5,,216.58,1930.11,946.0,936.39,25.24,3213.53,1836.27,1377.26,42.86,MK138AA
4.5,2.69,1003.0,4513.5,2698.07,341.02,3039.09,1669.0,1474.41,24.35,6250.5,3212.59,3037.91,48.6,HI733EJ
4.5,2.69,1149.0,5170.5,3090.81,390.66,3481.47,1569.0,1689.0300000000002,25.84,7842.28,4048.25,3794.03,48.38,ZV216X3
4.5,2.69,981.0,4414.5,2638.89,333.54,2972.43,1418.0,1442.0700000000002,25.44,6113.4,3299.23,2814.17,46.03,OS384S8
4.5,2.69,988.0,4446.0,2657.72,335.92,2993.64,1867.0,1452.36,23.22,4984.25,2848.09,2136.16,42.86,NH720RW
4.5,2.69,618.0,2781.0,1662.42,,,843.0,908.46,25.85,3851.25,1979.44,1871.81,48.6,KB036H0
4.5,2.69,796.0,3582.0,2141.24,270.64,2411.88,1334.0,1170.1200000000003,24.29,5432.94,2804.53,2628.41,48.38,BH51439
4.5,,1122.0,5049.0,3018.18,381.48,3399.66,1608.0,1649.34,25.5,6992.08,3773.43,,,BP042C9
4.5,2.69,484.0,2178.0,1301.96,164.56,1466.52,650.0,711.48,25.95,2441.68,1395.22,1046.46,42.86,UM723AK
4.5,2.69,315.0,1417.5,847.35,107.1,,,463.05,24.49,1963.02,1008.94,954.08,,DR3866S
4.5,2.69,801.0,3604.5,2154.69,272.34,2427.03,1110.0,1177.4699999999998,25.74,5467.07,2822.15,2644.92,48.38,TY432MA
4.5,2.69,543.0,2443.5,1460.67,184.62,1645.29,,798.21,25.27,3383.87,1826.18,1557.69,46.03,WG901JO
4.5,2.69,454.0,2043.0,1221.26,154.36,1375.62,695.0,,25.01,2290.34,1308.74,981.6,42.86,IR929PL
4.5,2.69,1086.0,4887.0,2921.34,369.24,3290.58,1685.0,1596.42,24.91,6767.74,3478.44,3289.3,48.6,ZR829FV
4.5,2.69,963.0,4333.5,2590.47,,2917.89,,1415.61,25.18,6572.77,3392.92,3179.85,48.38,LS1044P
4.5,2.69,1003.0,4513.5,2698.07,341.02,3039.09,1546.0,1474.41,24.96,6250.5,3373.22,2877.28,46.03,TK615YB
4.5,2.69,360.0,1620.0,968.4,122.4,1090.8,675.0,529.2,23.29,1816.13,1037.77,778.36,42.86,UU1502I
4.5,2.69,672.0,3024.0,1807.68,228.48,2036.16,987.0,,25.32,4187.77,2152.4,2035.37,48.6,VF2052H
4.5,2.69,496.0,2232.0,1334.24,168.64,1502.88,759.0,729.1199999999999,25.02,3385.35,1747.55,,48.38,GE209J7
4.5,2.69,622.0,2799.0,1673.18,211.48,1884.66,847.0,914.34,25.86,3876.18,2091.87,1784.31,46.03,EI322UP
4.5,2.69,1141.0,,3069.29,387.94,3457.23,1843.0,1677.27,24.59,,3289.14,2466.97,42.86,CH742OZ
4.5,2.69,1185.0,5332.5,3187.65,402.9,,1846.0,1741.9499999999998,24.88,7384.69,3795.53,3589.16,48.6,IM166EP
4.5,2.69,516.0,2322.0,1388.04,175.44,1563.48,901.0,758.52,23.94,3521.86,1818.01,1703.85,,IL555TS
4.5,2.69,904.0,4068.0,2431.76,307.36,2739.12,1678.0,1328.88,23.39,5633.55,3040.27,2593.28,46.03,FC9623I
4.5,2.69,676.0,3042.0,1818.44,229.84,2048.28,1297.0,993.7199999999998,23.07,3410.28,1948.69,1461.59,42.86,WP8637K
4.5,2.69,438.0,,1178.22,148.92,1327.14,775.0,643.8599999999999,23.82,2729.53,1402.91,1326.62,48.6,ZM788OG
4.5,2.69,1177.0,5296.5,3166.13,400.18,3566.31,1983.0,1730.19,24.24,8033.39,4146.9,3886.49,48.38,FP8269A
4.5,2.69,378.0,1701.0,1016.82,128.52,1145.34,591.0,555.6600000000001,24.85,2355.62,1271.26,1084.36,46.03,KS272WB
4.5,2.69,1051.0,4729.5,2827.19,357.34,3184.53,1367.0,1544.9699999999998,26.16,5302.08,3029.7,2272.38,42.86,QZ898RE
4.5,2.69,598.0,2691.0,,203.32,1811.94,891.0,879.0600000000002,25.22,3726.62,1915.38,1811.24,48.6,PE101DM
4.5,2.69,978.0,,2630.82,332.52,,1698.0,1437.66,23.99,6675.15,3445.77,3229.38,48.38,ZE910JD
4.5,2.69,964.0,4338.0,2593.16,327.76,2920.92,1590.0,1417.08,24.42,6007.46,3242.06,2765.4,46.03,RC331U0
4.5,2.69,1011.0,4549.5,2719.59,343.74,3063.33,1418.0,,25.65,5100.29,,2185.9,42.86,RQ008QR
4.5,2.69,999.0,4495.5,2687.31,339.66,3026.97,1721.0,1468.5300000000002,24.05,6225.57,,3025.79,48.6,UW412NS
4.5,2.69,499.0,2245.5,1342.31,169.66,1511.97,921.0,733.53,23.44,3405.83,1758.12,1647.71,48.38,TQ15575
4.5,2.69,540.0,2430.0,1452.6,183.6,1636.1999999999998,,793.8000000000002,24.91,3365.17,1816.09,1549.08,46.03,HK763PZ
4.5,2.69,,2974.5,1778.09,224.74,2002.83,1274.0,971.67,23.03,3334.61,1905.45,1429.16,42.86,DW136VR
4.5,2.69,504.0,2268.0,,171.36,1527.12,959.0,740.8800000000001,23.15,3140.83,1614.3,,48.6,DC040DW
4.5,2.69,595.0,2677.5,,202.3,,791.0,874.6500000000001,26.02,4061.06,2096.35,1964.71,48.38,SH857W7
4.5,2.69,447.0,2011.5,1202.43,151.98,1354.41,733.0,657.0899999999999,24.47,2785.62,1503.32,1282.3,46.03,AC930MY
4.5,2.69,1047.0,,2816.43,355.98,,2022.0,1539.09,23.01,5281.9,3018.17,2263.73,42.86,KR1715M
4.5,2.69,1029.0,4630.5,2768.01,349.86,3117.87,1960.0,1512.63,23.14,6412.52,3295.87,3116.65,48.6,NK076BU
4.5,2.69,584.0,,1570.96,140.16,1711.12,679.0,916.88,29.08,3732.33,1998.81,1733.52,46.45,DO0831D
4.5,2.69,646.0,,1737.74,155.04,1892.78,935.0,1014.22,27.65,3769.56,2110.51,1659.05,44.01,GN165WU
4.5,2.69,306.0,1377.0,823.14,73.44,896.5799999999999,,480.4200000000001,28.27,1445.47,856.9,588.57,40.72,XL003KJ
4.5,2.69,507.0,2281.5,1363.83,121.68,1485.51,712.0,795.99,27.87,2958.46,1577.51,1380.95,46.68,ZB295N5
4.5,2.69,478.0,2151.0,1285.82,114.72,1400.54,548.0,750.46,29.16,3054.88,1636.01,1418.87,46.45,EV270PE
4.5,2.69,577.0,2596.5,1552.13,138.48,1690.61,812.0,905.89,27.85,3366.93,1885.08,1481.85,44.01,OJ842HY
,2.69,513.0,2308.5,1379.97,123.12,1503.09,641.0,805.4099999999999,28.64,,1436.57,,40.72,YQ7299D
4.5,2.69,517.0,2326.5,1390.73,124.08,1514.81,,811.69,27.66,3016.82,1608.63,1408.19,46.68,JG2795B
4.5,2.69,439.0,1975.5,1180.91,105.36,1286.27,546.0,689.23,28.67,2805.64,1502.53,,,HM55495
